Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM2113355v1	GCA_021133555.1		Penicillium oxalicum		CCTCC M 20211309						30536533	Complete Genome	2021-12-09		9
ASM2257049v1	GCA_022570495.1		Penicillium oxalicum		I1R1						30669623	Complete Genome	2022-03-15		8
ASM4423186v1	GCA_044231865.1		Penicillium chrysogenum		404						32569297	Complete Genome	2024-11-04	JBIEAS01	4
ASM3051855v1	GCA_030518555.1		Penicillium roqueforti		LCP06133						28754521	Complete Genome	2023-07-23		4
ASM4423184v1	GCA_044231845.1		Penicillium chrysogenum		413						32630660	Chromosome	2024-11-04	JBIEAR01	4
ASM71027v1	GCA_000710275.1		Penicillium chrysogenum		P2niaD18					Annotation submitted by Ruhr-Univeristaet Bochum	32498524	Chromosome	2014-06-23	JMSF01	4
ASM1346617v1	GCA_013466175.1		Penicillium polonicum		F7						32628152	Chromosome	2020-07-23	WBOJ01	8
ASM193991v1	GCA_001939915.1		Penicillium roqueforti		CECT 2905						26071999	Contig	2017-01-09	MSQC01	1168
ASM2028416v1	GCA_020284165.1		Penicillium citrinum		NRRL 1841						31183193	Scaffold	2021-10-05	JAILXF01	109
ASM2756984v1	GCA_027569845.1		Penicillium polonicum		NRRL 995						32374864	Contig	2023-01-04	JAPDKX01	125
ASM2756943v1	GCA_027569435.1		Penicillium sclerotiorum		NRRL 2074						35625079	Contig	2023-01-04	JAPDFB01	131
ASM190812v1	GCA_001908125.1		Penicillium subrubescens		CBS 132785		Helsinki			Annotation submitted by CBS-KNAW Fungal Biodiversity Centre Institute of the Royal Netherlands Academy of Arts and Science	39803164	Scaffold	2016-12-19	MNBE01	776
ASM2756936v1	GCA_027569365.1		Penicillium coprophilum		NRRL 13627						28996901	Contig	2023-01-04	JAPDEY01	102
UCS_PECH_1.0	GCA_014839855.1		Penicillium ucsense		2HH					Annotation submitted by Universidade de Caxias do Sul	30427638	Scaffold	2020-10-02	WIWU01	697
ASM3037837v1	GCA_030378375.1		Penicillium oxalicum		5-18						30780966	Contig	2023-06-30	JASKYK01	9
SGAir0226	GCA_005546515.1		Penicillium oxalicum		SGAir0226						30680516	Contig	2019-05-21	SZWD01	20
ASM5194291v1	GCA_051942915.1		Penicillium oxalicum		F2DHU						28576124	Scaffold	2025-08-12	JBMALU01	194
ASM2362485v1	GCA_023624855.1		Penicillium oxalicum		M7025A						30222794	Scaffold	2022-06-01	JAMABN01	176
ASM415342v1	GCA_004153425.1		Penicillium oxalicum		SYJ-1						29842738	Scaffold	2019-02-11	SGAW01	87
ASM452193v1	GCA_004521935.1		Penicillium oxalicum		SYJ-1						29842738	Scaffold	2019-03-29	SDBR01	87
ASM2362483v1	GCA_023624835.1		Penicillium oxalicum		PM4501B						29833000	Scaffold	2022-06-01	JAMABO01	215
ASM3704387v1	GCA_037043875.1		Penicillium oxalicum		LH_A471						31404267	Contig	2024-03-06	JAWLSS01	715
pde_v1.0	GCA_000346795.1		Penicillium oxalicum 114-2		114-2					Annotation submitted by State Key Laboratory of Microbial Technology, Shandong University	30177368	Scaffold	2013-03-19	AGIH01	9
pdt_v1.0	GCA_000383025.1		Penicillium oxalicum JU-A10-T		JU-A10-T						30658924	Scaffold	2013-04-26	AGII01	23
Pexp1.0	GCA_002072455.1		Penicillium oxalicum YT02		YT02						31251972	Scaffold	2017-03-24	JARG01	52
ASM2882694v1	GCA_028826945.1		Penicillium chrysogenum		IBT 19737					Annotation submitted by Aalborg University	35181384	Contig	2023-02-23	JAPVED01	15
ASM2882701v1	GCA_028827015.1		Penicillium chrysogenum		IBT 3361					Annotation submitted by Aalborg University	33906189	Contig	2023-02-23	JAPVEB01	11
ASM2882895v1	GCA_028828955.1		Penicillium chrysogenum		IBT 17219					Annotation submitted by Aalborg University	33624001	Contig	2023-02-23	JAQJZU01	11
ASM208037v1	GCA_002080375.1		Penicillium chrysogenum					HKF42			31410885	Scaffold	2017-04-06	MWKT01	143
ASM1558629v1	GCA_015586295.1		Penicillium chrysogenum		F3_2F5_F						32607577	Scaffold	2020-11-18	JADBGZ01	486
ASM1558605v1	GCA_015586055.1		Penicillium chrysogenum		IF2SW-F5						31562351	Scaffold	2020-11-18	JACSPD01	445
ASM1558639v1	GCA_015586395.1		Penicillium chrysogenum		IF4SG-B1						33345064	Scaffold	2020-11-18	JADBGU01	651
ASM2362727v1	GCA_023627275.1		Penicillium chrysogenum		R3406						29979206	Scaffold	2022-06-01	JAMAFG01	101
ASM1558642v1	GCA_015586425.1		Penicillium chrysogenum		IF1SG-B2						33342700	Scaffold	2020-11-18	JADBGS01	676
ASM1558595v1	GCA_015585955.1		Penicillium chrysogenum		IF7SW-F1						31555041	Scaffold	2020-11-18	JACSOZ01	485
ASM1558573v1	GCA_015585735.1		Penicillium chrysogenum		IIF8SW-F4						31572930	Scaffold	2020-11-18	JACSON01	434
ASM1558596v1	GCA_015585965.1		Penicillium chrysogenum		IF4SW-F1						31563405	Scaffold	2020-11-18	JACSPA01	481
ASM2362413v1	GCA_023624135.1		Penicillium chrysogenum		Y40-02						29964615	Scaffold	2022-06-01	JAMADW01	111
ASM1558636v1	GCA_015586365.1		Penicillium chrysogenum		IIF2*SW-F2						32073134	Scaffold	2020-11-18	JADBGW01	460
ASM2362431v1	GCA_023624315.1		Penicillium chrysogenum		M2201						28880821	Scaffold	2022-06-01	JAMACP01	110
ASM2362701v1	GCA_023627015.1		Penicillium chrysogenum		PDH20-03						30792160	Scaffold	2022-06-01	JAMAES01	219
ASM1558641v1	GCA_015586415.1		Penicillium chrysogenum		IF2SG-B2						33347836	Scaffold	2020-11-18	JADBGT01	648
ASM2576814v1	GCA_025768145.1		Penicillium chrysogenum		Y3303						30485798	Scaffold	2022-10-20	JAMFOS01	184
ASM1558587v1	GCA_015585875.1		Penicillium chrysogenum		IIF3SW-F2						34175250	Scaffold	2020-11-18	JACSOU01	1276
ASM1558630v1	GCA_015586305.1		Penicillium chrysogenum		F3_2F4_F						32430262	Scaffold	2020-11-18	JADBGY01	568
ASM2362699v1	GCA_023626995.1		Penicillium chrysogenum		PDH20-04						30826169	Scaffold	2022-06-01	JAMAER01	222
ASM2362681v1	GCA_023626815.1		Penicillium chrysogenum		M20-01						30792045	Scaffold	2022-06-01	JAMAEH01	218
ASM1558613v1	GCA_015586135.1		Penicillium chrysogenum		IF1SW-F3						32852608	Scaffold	2020-11-18	JACSPG01	764
ASM2362445v1	GCA_023624455.1		Penicillium chrysogenum		P30-11						31825940	Scaffold	2022-06-01	JAMACI01	207
ASM2362711v1	GCA_023627115.1		Penicillium chrysogenum		S40-01						29978609	Scaffold	2022-06-01	JAMAEX01	103
ASM2756934v1	GCA_027569345.1		Penicillium chrysogenum		NRRL 792						33718706	Contig	2023-01-04	JAPDEX01	565
ASM2362733v1	GCA_023627335.1		Penicillium chrysogenum		S20-02						30793743	Scaffold	2022-06-01	JAMAFI01	240
ASM1558607v1	GCA_015586075.1		Penicillium chrysogenum		IF2SW-F4						34169410	Scaffold	2020-11-18	JACSPE01	1277
ASM2362667v1	GCA_023626675.1		Penicillium chrysogenum		PB3103						30390327	Scaffold	2022-06-01	JAMAEA01	184
ASM2362418v1	GCA_023624185.1		Penicillium chrysogenum		R3104						30487485	Scaffold	2022-06-01	JAMACT01	187
ASM2576817v1	GCA_025768175.1		Penicillium chrysogenum		M2203						28893139	Scaffold	2022-10-20	JAMFOR01	93
ASM2362713v1	GCA_023627135.1		Penicillium chrysogenum		R20-05						30490941	Scaffold	2022-06-01	JAMAEY01	196
ASM2362669v1	GCA_023626695.1		Penicillium chrysogenum		PH4103						29835738	Scaffold	2022-06-01	JAMAED01	101
ASM2362663v1	GCA_023626635.1		Penicillium chrysogenum		B20-02						30489685	Scaffold	2022-06-01	JAMAEB01	207
ASM2362427v1	GCA_023624275.1		Penicillium chrysogenum		R4101						29891153	Scaffold	2022-06-01	JAMACR01	114
ASM2362433v1	GCA_023624335.1		Penicillium chrysogenum		R4403						29877098	Scaffold	2022-06-01	JAMACN01	135
ASM2362435v1	GCA_023624355.1		Penicillium chrysogenum		PF3401						30356963	Scaffold	2022-06-01	JAMACM01	320
ASM2362707v1	GCA_023627075.1		Penicillium chrysogenum		Y1301						32220833	Scaffold	2022-06-01	JAMAEW01	240
ASM2362659v1	GCA_023626595.1		Penicillium chrysogenum		PYS3203						29968009	Scaffold	2022-06-01	JAMADY01	135
ASM2362679v1	GCA_023626795.1		Penicillium chrysogenum		PF2508S						29845130	Scaffold	2022-06-01	JAMAEJ01	151
ASM2362683v1	GCA_023626835.1		Penicillium chrysogenum		R20-04						30491701	Scaffold	2022-06-01	JAMAEK01	192
ASM2576847v1	GCA_025768475.1		Penicillium chrysogenum		PB20-04						30516851	Scaffold	2022-10-20	JAMFOQ01	412
ASM2362689v1	GCA_023626895.1		Penicillium chrysogenum		S2404						29703629	Scaffold	2022-06-01	JAMAEM01	166
ASM2362723v1	GCA_023627235.1		Penicillium chrysogenum		X20-07						30514621	Scaffold	2022-06-01	JAMAFE01	185
ASM2362441v1	GCA_023624415.1		Penicillium chrysogenum		PL40-01						29943360	Scaffold	2022-06-01	JAMACJ01	167
ASM2362671v1	GCA_023626715.1		Penicillium chrysogenum		PB20-03						30473580	Scaffold	2022-06-01	JAMAEC01	217
ASM2362703v1	GCA_023627035.1		Penicillium chrysogenum		M30-01						30463968	Scaffold	2022-06-01	JAMAET01	202
ASM2362697v1	GCA_023626975.1		Penicillium chrysogenum		2NP912A						31538282	Scaffold	2022-06-01	JAMAEP01	612
ASM2362439v1	GCA_023624395.1		Penicillium chrysogenum		R20-08						30500710	Scaffold	2022-06-01	JAMACK01	180
ASM1558631v1	GCA_015586315.1		Penicillium chrysogenum		F3_2F3_F						31592617	Scaffold	2020-11-18	JADBGX01	353
ASM2362425v1	GCA_023624255.1		Penicillium chrysogenum		PM3404						29986699	Scaffold	2022-06-01	JAMACQ01	112
ASM1558601v1	GCA_015586015.1		Penicillium chrysogenum		IF3SW-F3						32771709	Scaffold	2020-11-18	JACSPB01	843
ASM2362437v1	GCA_023624375.1		Penicillium chrysogenum		PB3102						30478740	Scaffold	2022-06-01	JAMACL01	213
ASM2362416v1	GCA_023624165.1		Penicillium chrysogenum		R2501						30471352	Scaffold	2022-06-01	JAMADX01	241
ASM2362673v1	GCA_023626735.1		Penicillium chrysogenum		PG4202						31734733	Scaffold	2022-06-01	JAMAEE01	209
ASM2362691v1	GCA_023626915.1		Penicillium chrysogenum		R3301						32644365	Scaffold	2022-06-01	JAMAEN01	422
ASM2362685v1	GCA_023626855.1		Penicillium chrysogenum		B3902						32593278	Scaffold	2022-06-01	JAMAEG01	272
ASM2362677v1	GCA_023626775.1		Penicillium chrysogenum		R1211B						32509062	Scaffold	2022-06-01	JAMAEI01	368
ASM2362675v1	GCA_023626755.1		Penicillium chrysogenum		PA3101						29964000	Scaffold	2022-06-01	JAMAEF01	148
ASM2362665v1	GCA_023626655.1		Penicillium chrysogenum		PB3904						30328082	Scaffold	2022-06-01	JAMADZ01	140
ASM2362721v1	GCA_023627215.1		Penicillium chrysogenum		PH2403						29706729	Scaffold	2022-06-01	JAMAFC01	175
ASM2362735v1	GCA_023627355.1		Penicillium chrysogenum		M20-02						31004779	Scaffold	2022-06-01	JAMAFJ01	395
ASM2362687v1	GCA_023626875.1		Penicillium chrysogenum		S3404						32426251	Scaffold	2022-06-01	JAMAEL01	352
ASM2362731v1	GCA_023627315.1		Penicillium chrysogenum		M2202						28865748	Scaffold	2022-06-01	JAMAFH01	165
ASM2362719v1	GCA_023627195.1		Penicillium chrysogenum		PB2409						29817453	Scaffold	2022-06-01	JAMAFA01	233
ASM2362725v1	GCA_023627255.1		Penicillium chrysogenum		PG3507						32934761	Scaffold	2022-06-01	JAMAFD01	485
ASM2362423v1	GCA_023624235.1		Penicillium chrysogenum		P20-02						30446813	Scaffold	2022-06-01	JAMACS01	243
ASM2362717v1	GCA_023627175.1		Penicillium chrysogenum		R13B						32188916	Scaffold	2022-06-01	JAMAFB01	300
ASM2362693v1	GCA_023626935.1		Penicillium chrysogenum		S1301						32149178	Scaffold	2022-06-01	JAMAEO01	365
ASM2362695v1	GCA_023626955.1		Penicillium chrysogenum		S1302						32152572	Scaffold	2022-06-01	JAMAEQ01	362
ASM2362729v1	GCA_023627295.1		Penicillium chrysogenum		F30-04						29863380	Scaffold	2022-06-01	JAMAFF01	169
ASM2362705v1	GCA_023627055.1		Penicillium chrysogenum		PK3604						32284811	Scaffold	2022-06-01	JAMAEU01	586
ASM2362443v1	GCA_023624435.1		Penicillium chrysogenum		P20-04						31003609	Scaffold	2022-06-01	JAMACH01	337
ASM2362429v1	GCA_023624295.1		Penicillium chrysogenum		R1210						33779266	Scaffold	2022-06-01	JAMACO01	723
ASM2362709v1	GCA_023627095.1		Penicillium chrysogenum		S3406						32366647	Scaffold	2022-06-01	JAMAEV01	608
ASM2362715v1	GCA_023627155.1		Penicillium chrysogenum		S2406						29601950	Scaffold	2022-06-01	JAMAEZ01	481
ASM2889160v1	GCA_028891605.1		Penicillium chrysogenum		BIONCL16						31097111	Scaffold	2023-03-01	JAKRWH01	1532
ASM4812764v1	GCA_048127645.1		Penicillium chrysogenum		BIONCL16						31097111	Scaffold	2025-02-26	JAKKEL01	1532
ASM2559003v1	GCA_025590035.1		Penicillium chrysogenum		CGMCC 3.15265						32981487	Scaffold	2022-10-05	JANFQV01	1341
ASM1558585v1	GCA_015585855.1		Penicillium chrysogenum		IIF4SW-F3						31309220	Scaffold	2020-11-18	JACTVK01	1583
ASM80135v1	GCA_000801355.1		Penicillium chrysogenum		IB 08/921						32239728	Scaffold	2014-12-15	JPDR01	1151
KF-25_v1	GCA_000816005.1		Penicillium chrysogenum KF-25		KF-25						29917546	Scaffold	2015-01-08	AZRB01	194
Penc1.0	GCA_000523475.1		Penicillium chrysogenum NCPC10086		NCPC10086						32303359	Scaffold	2014-01-27	APKG01	175
Pexp_R19	GCA_004302965.1		Penicillium expansum		R19						32896497	Contig	2019-02-26	REGB01	16
ASM4423181v1	GCA_044231815.1		Penicillium expansum		21						32468381	Scaffold	2024-11-01	JBIEAQ01	5
ASM2882785v1	GCA_028827855.1		Penicillium expansum		IBT 35385					Annotation submitted by Aalborg University	31736332	Contig	2023-02-23	JAPWDR01	10
MDX_Pexp_1.0	GCA_052818325.1		Penicillium expansum					S1-20			32831646	Contig	2025-09-24	JAXGGN01	33
DTU_Pex_IBT34672	GCA_022829055.1		Penicillium expansum					IBT34672		Annotation submitted by Center for Microbial Secondary Metabolites	32512596	Scaffold	2022-04-06	JAJPGR01	154
ASM4247748v1	GCA_042477485.1		Penicillium expansum		PPRI25879						32472518	Contig	2024-10-02	JBGBCT01	1648
ASM76973v1	GCA_000769735.1		Penicillium expansum		d1					Annotation submitted by Center for Genomic Regulation (CRG)	32065046	Contig	2014-10-28	JQFY01	270
ASM2362447v1	GCA_023624475.1		Penicillium expansum		PF2411						31670603	Scaffold	2022-06-01	JAMACG01	249
ASM175004v2	GCA_001750045.2		Penicillium expansum		R21						35046070	Scaffold	2016-12-07	MJGF02	257
Peniclillium expansum v1	GCA_000688875.1		Penicillium expansum		R19						31415732	Contig	2014-04-08	JHUC01	1231
PEX1	GCA_000769755.1		Penicillium expansum		CMP-1					Annotation submitted by Center for Genomic Regulation (CRG)	31087040	Contig	2014-10-28	JQFX01	1723
ASM100838v1	GCA_001008385.1		Penicillium expansum T01		T01						33032596	Contig	2015-05-15	AYHP01	527
PenAur1.0	GCA_000584915.1		Penicillium expansum NRRL 62431		NRRL 62431						31547516	Contig	2014-03-03	ALJY01	4775
ASM1229554v2	GCA_012295545.2		Penicillium digitatum		DSM 62840					Annotation submitted by Huazhong Agricultural University	26577035	Scaffold	2020-12-16	JAAQRF02	31
ASM2756980v1	GCA_027569805.1		Penicillium digitatum		NRRL 1202						25175610	Contig	2023-01-04	JAPDKW01	568
PdigPHI26_v1	GCA_000315665.1		Penicillium digitatum PHI26		PHI26					Annotation submitted by Center for Genomic Regulation (CRG)	25956151	Scaffold	2012-12-03	AKCT01	100
Pendig1.0	GCA_000485865.1		Penicillium digitatum Pd01-ZJU		Pd01-ZJU						25011071	Contig	2013-10-29	ANGJ01	1816
ASM130786v1	GCA_001307865.1		Penicillium digitatum PDC 102		PDC 102						25204439	Scaffold	2015-10-07	LHSL01	883
PI	GCA_001008395.1		Penicillium italicum		B3						28597635	Scaffold	2015-05-15	JMDK01	1186
ASM76976v1	GCA_000769765.1		Penicillium italicum		PHI-1					Annotation submitted by Center for Genomic Regulation (CRG)	30164421	Contig	2014-10-28	JQGA01	1632
ASM2313835v1	GCA_023138355.1		Penicillium roqueforti		CBS 147331					Annotation submitted by Utrecht University	26501980	Scaffold	2022-04-29	JAKIJW01	56
ASM2306549v1	GCA_023065495.1		Penicillium roqueforti		CBS 147318					Annotation submitted by Utrecht University	27208865	Scaffold	2022-04-22	JAIWKL01	46
ASM2314114v1	GCA_023141145.1		Penicillium roqueforti		DTO 039-G3					Annotation submitted by Utrecht University	27194146	Scaffold	2022-04-26	JAKIKC01	43
JCM_22842_assembly_v001	GCA_001599855.1		Penicillium roqueforti		JCM 22842						27123058	Scaffold	2016-03-01	BCID01	16
ASM2306541v1	GCA_023065415.1		Penicillium roqueforti		CBS 147355					Annotation submitted by Utrecht University	27165649	Scaffold	2022-04-22	JAIWKH01	61
ASM2314127v1	GCA_023141275.1		Penicillium roqueforti		DTO 012-A7					Annotation submitted by Utrecht University	27298807	Scaffold	2022-04-29	JAKIKI01	61
ASM2306559v1	GCA_023065595.1		Penicillium roqueforti		CBS 147332					Annotation submitted by Utrecht University	26503641	Scaffold	2022-04-22	JAIWKK01	53
ASM2313844v1	GCA_023138445.1		Penicillium roqueforti		CBS 147330					Annotation submitted by Utrecht University	28030160	Scaffold	2022-04-26	JAKIJX01	172
ASM2313867v1	GCA_023138675.1		Penicillium roqueforti		CBS 147317					Annotation submitted by Utrecht University	26719920	Scaffold	2022-04-26	JAKIKA01	58
ASM2314130v1	GCA_023141305.1		Penicillium roqueforti		CBS 147310					Annotation submitted by Utrecht University	27255132	Scaffold	2022-04-26	JAKIKJ01	91
ASM2306537v1	GCA_023065375.1		Penicillium roqueforti		LCP 96.3914a					Annotation submitted by Utrecht University	28037876	Scaffold	2022-04-22	JAIWKG01	100
ASM2313861v1	GCA_023138615.1		Penicillium roqueforti		CBS 147326					Annotation submitted by Utrecht University	28489418	Scaffold	2022-04-26	JAKIJY01	178
ASM2313799v1	GCA_023137995.1		Penicillium roqueforti		CBS 147339					Annotation submitted by Utrecht University	28417908	Scaffold	2022-04-26	JAKIJT01	103
ASM2314116v1	GCA_023141165.1		Penicillium roqueforti		DTO 027-I6					Annotation submitted by Utrecht University	29271598	Scaffold	2022-04-29	JAKIKE01	176
ASM2314131v1	GCA_023141315.1		Penicillium roqueforti		CBS 147309					Annotation submitted by Utrecht University	27042476	Scaffold	2022-04-29	JAKIKK01	70
ASM2314135v1	GCA_023141355.1		Penicillium roqueforti		DTO 006-G7					Annotation submitted by Utrecht University	27939300	Scaffold	2022-04-29	JAKIKL01	99
ASM2309108v1	GCA_023091085.1		Penicillium roqueforti		CBS 147372					Annotation submitted by Utrecht University	26732615	Scaffold	2022-04-22	JAIWKJ01	65
ASM2314111v1	GCA_023141115.1		Penicillium roqueforti		DTO 032-C6					Annotation submitted by Utrecht University	28454168	Scaffold	2022-04-26	JAKIKD01	141
ASM2306565v1	GCA_023065655.1		Penicillium roqueforti		DTO 006-G1					Annotation submitted by Utrecht University	27936863	Scaffold	2022-04-22	JAIWKP01	108
ASM2282911v1	GCA_022829115.1		Penicillium roqueforti		CBS 147337					Annotation submitted by Utrecht University	29905580	Scaffold	2022-04-06	JAKIJR01	234
ASM2313864v1	GCA_023138645.1		Penicillium roqueforti		CBS 147325					Annotation submitted by Utrecht University	28959035	Scaffold	2022-04-26	JAKIJZ01	140
ASM2314115v1	GCA_023141155.1		Penicillium roqueforti		DTO 046-C5					Annotation submitted by Utrecht University	28801959	Scaffold	2022-04-26	JAKIKB01	143
ASM2306568v1	GCA_023065685.1		Penicillium roqueforti		DTO 012-A1					Annotation submitted by Utrecht University	29338683	Scaffold	2022-04-22	JAIWKO01	157
ASM2314151v1	GCA_023141515.1		Penicillium roqueforti		DTO 002-I6					Annotation submitted by Utrecht University	29448982	Scaffold	2022-04-26	JAKIKO01	129
ASM2314120v1	GCA_023141205.1		Penicillium roqueforti		CBS 147311					Annotation submitted by Utrecht University	29527522	Scaffold	2022-04-26	JAKIKF01	297
ASM2313801v1	GCA_023138015.1		Penicillium roqueforti		CBS 147333					Annotation submitted by Utrecht University	30442347	Scaffold	2022-04-26	JAKIJV01	530
ASM2306546v1	GCA_023065465.1		Penicillium roqueforti		CBS 147354					Annotation submitted by Utrecht University	28255295	Scaffold	2022-04-22	JAIWKI01	155
ASM2314139v1	GCA_023141395.1		Penicillium roqueforti		DTO 003-C3					Annotation submitted by Utrecht University	30243556	Scaffold	2022-04-26	JAKIKN01	347
ASM2314119v1	GCA_023141195.1		Penicillium roqueforti		DTO 013-E5					Annotation submitted by Utrecht University	29239760	Scaffold	2022-04-26	JAKIKG01	164
ASM2314138v1	GCA_023141385.1		Penicillium roqueforti		CBS 147308					Annotation submitted by Utrecht University	30253856	Scaffold	2022-04-26	JAKIKM01	377
PrP1-1.0	GCA_000737485.2		Penicillium roqueforti		UASWS P1						27903456	Contig	2015-06-08	JNNS01	427
ASM2314123v1	GCA_023141235.1		Penicillium roqueforti		DTO 012-A9					Annotation submitted by Utrecht University	29807386	Scaffold	2022-04-26	JAKIKH01	577
ASM2306552v1	GCA_023065525.1		Penicillium roqueforti		DTO 013-F2					Annotation submitted by Utrecht University	31707239	Scaffold	2022-04-20	JAIWKM01	655
ASM2313800v1	GCA_023138005.1		Penicillium roqueforti		CBS 147338					Annotation submitted by Utrecht University	28283809	Scaffold	2022-04-26	JAKIJU01	270
ASM2306562v1	GCA_023065625.1		Penicillium roqueforti		DTO 012-A8					Annotation submitted by Utrecht University	29562938	Scaffold	2022-04-22	JAIWKN01	1357
PROQFM164_20130607	GCA_000513255.1		Penicillium roqueforti FM164		FM164					Annotation submitted by INRA-LIPM	29010044	Scaffold	2013-11-27	CBMR01	48
ASM3632084v1	GCA_036320845.1		Penicillium citrinum		B9					Annotation submitted by Temasek Life Sciences laboratories	31333751	Contig	2024-01-31	JAWVBB01	9
ASM2362459v1	GCA_023624595.1		Penicillium citrinum		PH4033						31677846	Scaffold	2022-06-01	JAMABY01	84
JCM_22607_assembly_v001	GCA_001950535.1		Penicillium citrinum		JCM 22607						33998198	Scaffold	2016-12-09	BCKA01	50
ASM2576855v1	GCA_025768555.1		Penicillium citrinum		X2502D						31971813	Scaffold	2022-10-20	JAMFOF01	326
ASM1919119v1	GCA_019191195.1		Penicillium citrinum		F4_1A_F1_F						30994190	Scaffold	2021-07-09	JAHART01	87
ASM2576840v1	GCA_025768405.1		Penicillium citrinum		PT2504						32218659	Scaffold	2022-10-20	JAMFOJ01	218
ASM2576835v1	GCA_025768355.1		Penicillium citrinum		PB2505						32194448	Scaffold	2022-10-20	JAMFOL01	235
ASM2578286v1	GCA_025782865.1		Penicillium citrinum		R2503						31940650	Scaffold	2022-10-20	JAMFOG01	385
ASM2576879v1	GCA_025768795.1		Penicillium citrinum		PDH2504						32205893	Scaffold	2022-10-20	JAMFNZ01	231
ASM2576870v1	GCA_025768705.1		Penicillium citrinum		PB2504						32277539	Scaffold	2022-10-20	JAMFOA01	261
ASM2576852v1	GCA_025768525.1		Penicillium citrinum		M7005D						32885620	Scaffold	2022-10-20	JAMFOH01	272
ASM2576858v1	GCA_025768585.1		Penicillium citrinum		PA2509						32255349	Scaffold	2022-10-20	JAMFOE01	243
ASM2576832v1	GCA_025768325.1		Penicillium citrinum		PA2506						32225090	Scaffold	2022-10-20	JAMFOM01	302
ASM3704421v1	GCA_037044215.1		Penicillium citrinum		LH_A494						31633929	Contig	2024-03-06	JAWLTK01	180
ASM2576838v1	GCA_025768385.1		Penicillium citrinum		PYS008B						31637923	Scaffold	2022-10-20	JAMFOK01	95
ASM2576876v1	GCA_025768765.1		Penicillium citrinum		B8014						35121705	Scaffold	2022-10-20	JAMFNX01	636
ASM2576873v1	GCA_025768735.1		Penicillium citrinum		PG2501						32180833	Scaffold	2022-10-20	JAMFNY01	258
ASM2576866v1	GCA_025768665.1		Penicillium citrinum		PT2503						31703628	Scaffold	2022-10-20	JAMFOB01	210
ASM2576864v1	GCA_025768645.1		Penicillium citrinum		S2504						31985096	Scaffold	2022-10-20	JAMFOD01	287
ASM2362467v1	GCA_023624675.1		Penicillium citrinum		PA2510						31617329	Scaffold	2022-06-01	JAMABW01	352
ASM2576861v1	GCA_025768615.1		Penicillium citrinum		PF2509S						32004788	Scaffold	2022-10-20	JAMFOC01	255
ASM2576844v1	GCA_025768445.1		Penicillium citrinum		PT2506						31713240	Scaffold	2022-10-20	JAMFOI01	271
ASM2756975v1	GCA_027569755.1		Penicillium citrinum		NRRL 756						34677391	Contig	2023-01-04	JAPDKV01	583
ASM2553190v1	GCA_025531905.1		Penicillium citrinum		P8002						32193715	Scaffold	2022-10-03	JAMFRK01	148
ASM2362465v1	GCA_023624655.1		Penicillium citrinum		P8015						33560626	Scaffold	2022-06-01	JAMABX01	400
PCAss	GCA_001399475.1		Penicillium citrinum		DSM 1997						31529786	Contig	2015-10-19	LKUP01	976
ASM1558590v1	GCA_015585905.1		Penicillium polonicum		IIF1SW-F3						31586729	Scaffold	2020-11-18	JACSOV01	464
ASM334459v1	GCA_003344595.1		Penicillium polonicum		hy4						33920094	Scaffold	2018-07-27	QPIC01	32
ASM5357382v1	GCA_053573825.1		Penicillium polonicum		MS0192						32906559	Contig	2025-11-21	JBNMDX01	152
ASM5357292v1	GCA_053572925.1		Penicillium polonicum		MS0202						32415201	Contig	2025-11-21	JBNLIZ01	132
ASM207226v1	GCA_002072265.1		Penicillium polonicum		IBT 4502					Annotation submitted by Chalmers University of Technology	32376562	Scaffold	2017-03-24	MDYM01	74
ASM2576826v1	GCA_025768265.1		Penicillium polonicum		PB2502						32214567	Scaffold	2022-10-20	JAMFOP01	428
ASM2576829v1	GCA_025768295.1		Penicillium polonicum		PM3203						32408952	Scaffold	2022-10-20	JAMFON01	470
ASM2576885v1	GCA_025768855.1		Penicillium polonicum		R2416						31984036	Scaffold	2022-10-20	JAMFOO01	480
ASM2362647v1	GCA_023626475.1		Penicillium janthinellum		PG2901						33094021	Scaffold	2022-06-01	JAMADV01	1031
ASM2362645v1	GCA_023626455.1		Penicillium janthinellum		PG2902						33076757	Scaffold	2022-06-01	JAMADU01	928
ASM2558991v1	GCA_025589915.1		Penicillium polonicum		CGMCC 3.15272						31085775	Scaffold	2022-10-05	JANFQU01	760
ASM236980v1	GCA_002369805.1		Penicillium janthinellum		NCIM1366						37601233	Contig	2017-09-26	NPFE01	1773
ASM2559080v1	GCA_025590805.1		Penicillium polonicum		CGMCC 3.15264						31860205	Scaffold	2022-10-05	JANFQW01	1008
ASM2055736v1	GCA_020557365.1		Penicillium griseofulvum		D-756						28923620	Contig	2021-10-25	JAHTKM01	6
ASM4742633v1	GCA_047426335.1		Penicillium griseofulvum		CF3						29236174	Contig	2025-02-04	JBLEBL01	43
ASM5211073v1	GCA_052110735.1		Penicillium crustosum		CTM10622						31379761	Contig	2025-08-18	JBQLZF01	42
